target,isp,os,latency,jitter,packet_loss,download,upload,date,hour
google,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,34.931,0.15,0.0,564.61,567.25,28-04-2022,17:10
alibaba,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,37.874,0.038,0.0,9.85,9.96,28-04-2022,17:10
amazon,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,35.793,0.069,0.0,292.38,293.74,28-04-2022,17:11
azure,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,33.192,0.262,0.0,428.62,431.62,28-04-2022,17:11
google,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,35.377,0.261,0.0,553.82,556.48,28-04-2022,17:11
alibaba,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Windows,58.22,4.853,0.0,8.48,8.33,28-04-2022,18:14
amazon,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Windows,54.919,5.316,0.0,10.49,10.34,28-04-2022,18:14
azure,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Windows,48.602,4.194,0.2,11.63,11.51,28-04-2022,18:14
google,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Windows,59.564,9.397,0.0,3.46,3.35,28-04-2022,18:15
alibaba,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Windows,88.534,11.076,0.0,2.41,2.27,28-04-2022,18:21
amazon,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Windows,82.756,8.652,0.0,1.89,1.72,28-04-2022,18:21
azure,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Windows,101.089,22.545,0.0,1.47,1.32,28-04-2022,18:21
google,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Windows,93.357,10.579,0.0,2.52,2.44,28-04-2022,18:22
alibaba,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Linux,48.263,2.352,0.0,10.05,10.75,28-04-2022,19:00
amazon,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Linux,47.445,0.537,0.0,10.37,11.06,28-04-2022,19:00
azure,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Linux,40.467,1.034,0.0,12.96,13.57,28-04-2022,19:01
google,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Linux,45.019,0.274,0.0,11.48,12.01,28-04-2022,19:01
alibaba,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Linux,46.954,0.326,0.0,9.98,10.46,28-04-2022,19:04
amazon,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Linux,48.294,1.159,0.0,10.57,11.18,28-04-2022,19:04
azure,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Linux,40.045,0.518,0.0,13.37,14.06,28-04-2022,19:04
google,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.,Linux,45.345,0.655,0.0,11.32,12.06,28-04-2022,19:04
alibaba,AS3243 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Windows,37.134,2.897,0.0,10.89,10.73,28-04-2022,21:10
amazon,AS3243 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Windows,36.129,3.729,0.0,41.08,41.08,28-04-2022,21:11
azure,AS3243 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Windows,37.35,3.281,0.0,41.94,41.94,28-04-2022,21:11
google,AS3243 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Windows,51.739,9.434,0.2,32.35,32.35,28-04-2022,21:11
alibaba,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,37.901,0.031,0.0,9.58,9.68,29-04-2022,12:01
amazon,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,35.357,0.118,0.0,277.39,278.96,29-04-2022,12:01
azure,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,32.99,0.097,0.0,350.91,352.88,29-04-2022,12:02
google,AS15525 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Darwin,34.802,0.128,0.0,552.28,554.94,29-04-2022,12:02
alibaba,AS3243 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Windows,43.995,2.842,0.0,10.90,10.72,30-04-2022,00:52
amazon,AS3243 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Windows,38.602,1.585,0.0,42.99,42.97,30-04-2022,00:52
azure,AS3243 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Windows,37.196,0.702,0.0,45.61,45.61,30-04-2022,00:52
google,AS3243 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,Windows,40.258,0.964,0.0,41.94,41.94,30-04-2022,00:53
